PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
29.41,51.66,1.29,2.65,21.42,0.03,4.35,64
22.92,41.58,1.32,2.62,21.36,0,3.42,42
25.45,47.04,1.28,2.77,21.85,0.14,5.34,46
28.02,56,1.35,2.57,21.32,1.56,2.95,44
42.63,73.21,1.31,2.79,21.31,1.82,2.02,69
39.02,64.47,1.33,3.24,21.4,0.77,3.25,46
36.88,58.23,1.32,2.72,21.23,0.45,3.52,56
28.42,46.84,1.26,2.76,20.61,0.25,3.28,45
32.31,54.78,1.28,3.2,21.2,0.4,3.58,46
38.5,63.83,1.27,3.12,21.32,0.4,4.47,57
28.21,,1.33,3.14,21.28,0.27,3.54,47
36.91,,1.35,3.42,21.28,0.56,3.27,56
54.6,96.87,1.44,3.58,21.74,1.53,3.61,71
63.57,106.2,1.37,3.27,21.47,2.33,2.73,91
76.49,124.04,1.36,2.53,21.56,2.72,2.25,113
70.36,111.85,1.33,2.47,21.6,2.76,1.48,143
37.82,56.74,1.26,2.91,21.65,1.67,1.98,72
34.19,51.29,1.31,2.77,21.62,1.29,1.92,70
30.94,46.41,1.32,2.88,21.63,0.86,2.38,59
28.18,42.27,1.29,2.96,21.61,0.74,1.67,56
26.6,41.55,1.31,3.05,22.04,0.48,2.61,53
32.17,53.62,1.34,2.64,21.57,0.69,1.48,46
42.64,71.08,1.31,2.18,21.89,2.04,1.48,58
40.03,66.71,1.31,1.96,21.68,1.83,1.43,77
29,48.33,1.29,2.51,21.64,0.01,1.12,46
23.57,39.28,1.29,1.9,21.67,0,1.38,50
14.25,23.74,1.22,1.96,21.64,0,1.6,30
13.07,21.78,1.27,2.02,21.73,0,1.52,30
