PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),AQI
44.99,83.31,2.06,1.24,4.17,2.1,23.41,0.53,2.25,0.11,106
40.49,74.99,2.05,1.2,4.12,2.32,23.36,0.44,2.58,0.09,68
51.96,96.22,2.04,1.23,4.13,2.44,23.53,0.56,2.31,0.11,102
47.09,87.21,2.04,1.2,4.09,2.04,23.72,0.27,3.55,0.05,101
42.8,79.25,2.04,1.19,4.09,2,23.45,0.21,4.11,0.04,89
63.71,117.98,2.05,1.23,4.15,2.03,23.37,0.37,4.95,0.07,98
33.01,53.75,2.07,1.16,4.11,2.18,23.42,0.43,3.78,0.09,86
16.64,22.19,2.05,1.19,4.1,2.16,23.3,0.41,4.56,0.08,58
22.03,29.37,2.03,1.22,4.11,2.53,23.47,0.6,3.9,0.12,74
24.93,32.03,2.05,1.19,4.09,2.54,23.32,0.4,3.89,0.08,54
58.54,73.17,2.02,1.24,4.1,2.93,23.51,0.65,4.31,0.13,92
46.72,58.4,2.03,1.2,4.08,2.98,23.45,0.62,3.43,0.12,78
51.51,64.38,18.63,19.61,17.2,3.2,22.91,0.67,3.43,0.13,71
52.69,65.87,1.99,1.33,4.14,2.88,22.45,0.57,5.15,0.11,73
58.85,73.56,1.97,1.25,4.03,2.72,23.18,0.57,5.94,0.11,85
45.68,57.09,1.98,1.24,4.04,2.56,23.98,0.52,4.09,0.1,74
49.12,61.4,1.95,1.2,3.98,2.62,24.88,0.58,3.14,0.12,81
49.8,62.25,1.84,1.12,3.73,2.84,30.77,0.67,0.98,0.13,86
37.14,46.42,2.01,1.29,4.15,2.52,22.91,0.55,1.58,0.11,77
18.13,22.67,1.96,1.22,4.01,1.97,24.62,0.22,1.38,0.04,34
24.72,30.91,1.69,1.04,3.43,1.91,37.49,0.3,0.68,0.06,39
22.25,27.81,97.94,72.13,94.97,1.85,40.43,0.33,0.7,0.07,35
40.22,50.27,397.05,286.67,23.99,2.07,42.13,0.84,0.9,0.17,49
56.86,71.07,,,,2.71,45.2,1.82,1.12,0.24,86
46.58,58.23,6.23,4,12.1,2.6,35.37,0.91,2.46,0.14,67
71.21,89.02,2.02,1.37,4.22,2.51,21.89,0.62,2.62,0.12,80
70.31,87.89,2.05,1.26,4.19,2.24,21.95,0.33,4.07,0.07,124
76.22,95.28,2.05,1.27,4.19,2.74,21.87,0.98,4.32,0.2,108
75.74,94.68,2.03,1.28,4.18,2.9,21.81,1.14,3.67,0.23,133
66.07,81.58,2.01,1.27,3.83,2.78,23.06,0.89,1.88,0.18,117
51.47,61.75,1.97,1.31,2.23,2.88,23.08,0.48,1.85,0.1,79
49.52,59.42,1.89,1.17,3.85,2.54,27.01,0.48,2.93,0.1,76
44.21,53.03,1.83,1.17,3.75,2.82,30.02,0.48,1.99,0.1,70
36.05,43.25,1.92,1.24,3.96,2.57,25.34,0.53,2.03,0.11,60
40.19,48.23,1.68,1.15,3.44,2.86,36.12,0.54,1.25,0.11,54
46.86,56.23,1.69,1.2,3.44,3.37,37.84,0.76,1.55,0.15,64
54.36,65.23,1.83,1.22,3.79,3.05,28.9,1.15,2.68,0.23,86
57.17,68.61,2.03,1.33,4.24,3.13,21.4,1.17,2.75,0.23,89
55.9,67.08,1.93,1.2,3.93,2.48,25.73,1.37,2.93,0.27,78
49.68,59.62,1.8,1.13,3.66,3.53,30.92,0.73,2.17,0.15,85
59.92,71.9,2.04,1.32,4.23,2.89,21.4,0.63,2.82,0.13,106
43.84,52.62,2.07,1.26,4.23,2.74,21.43,0.43,3.6,0.09,80
